SMILES,EC50,EC50-min,EC50-max
CC[C@H](C)[C@@H](C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)O)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CC2=CNC3=CC=CC=C32)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CS)NC(=O)CNC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](C(C)C)NC(=O)[C@H](CC5=CNC6=CC=CC=C65)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC7=CC=C(C=C7)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC8=CNC9=CC=CC=C98)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](C(C)C)NC(=O)[C@H]([C@@H](C)O)N,250,250.0,250.0
C[C@H]1C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CSCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1C)CC3=CC=C(C=C3)C4=CC=CC=C4)[C@@H](C)O)[C@@H](C)O)CO)C(C)C)CC5=CC=CC=C5)C(=O)NCC(=O)N)CCCNC(=N)N)CC(=O)O)C)C)CC6=CC=C(C=C6)C7=CC=CC=C7,106,106.0,106.0
CCNC(=O)[C@@H]1CSCC(=O)N[C@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)N1)C)CCC(=O)O)C)C)CC4=CC=C(C=C4)C5=CC=CC=C5)C)C)CC6=CC=C(C=C6)C7=CC=CC=C7)[C@@H](C)O)[C@@H](C)O)C(C)C)CC8=CC=CC=C8,170,170.0,170.0
CC1=C(C=C(C=C1)NC(=O)CCC2CCCCC2)NC(=O)C3=CC=CC=C3,2000,2000.0,2000.0
CC1=C(C=C(C=C1)NC(=O)CCC2CCCCC2)NC(=O)C3=CC=C(C=C3)CO,7600,7600.0,7600.0
CC1=C(C=C(C=C1)NC(=O)CCC2CCCCC2)NCC3=CC4=C(C=C3)OCO4,600,600.0,600.0
CC1=C(C=C(C=C1)NC(=O)CCC2CCCCC2)NC(=O)C3=CC=C(C=C3)N,3800,3800.0,3800.0
CC1=C(C=C(C=C1)NC(=O)CCC2CCCCC2)NC(=O)C3=CC(=CC=C3)O,2000,2000.0,2000.0
CC1=C(C=C(C=C1)NC(=O)CCC2CCCCC2)NC(=O)C3=CC=C(C=C3)OC(=O)C,2500,2500.0,2500.0
CC1=C(C=C(C=C1)NC(=O)CCC2CCCCC2)NC(=O)C3=CC=C(C=C3)O,1700,1700.0,1700.0
